Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2040,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,202,Afrique du Sud,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2899,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,3,Albanie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3360,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,4,Algérie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3322,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,79,Allemagne,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3554,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,7,Angola,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2385,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,8,Antigua-et-Barbuda,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2445,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,194,Arabie saoudite,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3307,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,9,Argentine,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3307,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,1,Arménie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2997,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,10,Australie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3391,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,11,Autriche,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3695,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,52,Azerbaïdjan,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3149,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,12,Bahamas,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2655,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,16,Bangladesh,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2563,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,14,Barbade,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2956,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,57,Bélarus,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3270,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,255,Belgique,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3769,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,23,Belize,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2775,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,53,Bénin,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2755,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,19,Bolivie (État plurinational de),664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2412,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,80,Bosnie-Herzégovine,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3307,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,20,Botswana,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2342,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,21,Brésil,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3301,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,27,Bulgarie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2854,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,233,Burkina Faso,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2737,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,35,Cabo Verde,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2541,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,115,Cambodge,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2492,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,32,Cameroun,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2733,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,33,Canada,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3566,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,40,Chili,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3029,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,351,Chine,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3203,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,96,Chine - RAS de Hong-Kong,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3267,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,128,Chine - RAS de Macao,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3327,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,41,"Chine, continentale",664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3206,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,214,"Chine, Taiwan Province de",664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2983,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,50,Chypre,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3019,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,44,Colombie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3114,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,46,Congo,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2285,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,48,Costa Rica,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3029,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,107,Côte d'Ivoire,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2778,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,98,Croatie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3074,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,49,Cuba,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3344,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,54,Danemark,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3401,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,72,Djibouti,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2694,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,55,Dominique,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2952,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,59,Égypte,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3292,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,60,El Salvador,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2696,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,225,Émirats arabes unis,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3314,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,58,Équateur,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2606,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,203,Espagne,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3322,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,63,Estonie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3247,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,209,Eswatini,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2426,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,231,États-Unis d'Amérique,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3782,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,238,Éthiopie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2338,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,185,Fédération de Russie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3345,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,66,Fidji,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2781,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,67,Finlande,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3343,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,68,France,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3502,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,74,Gabon,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2633,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,75,Gambie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2533,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,73,Géorgie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2835,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,81,Ghana,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3035,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,84,Grèce,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3382,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,86,Grenade,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2402,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,89,Guatemala,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2551,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,90,Guinée,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2746,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,175,Guinée-Bissau,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2229,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,91,Guyana,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2913,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,93,Haïti,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2121,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,95,Honduras,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2673,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,97,Hongrie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3316,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,25,Îles Salomon,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2415,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,100,Inde,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2533,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,101,Indonésie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2884,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,102,Iran (République islamique d'),664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3087,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,103,Iraq,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2608,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,104,Irlande,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3885,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,99,Islande,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3654,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,105,Israël,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3528,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,106,Italie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3503,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,109,Jamaïque,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2792,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,110,Japon,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2705,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,112,Jordanie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2732,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,108,Kazakhstan,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3067,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,114,Kenya,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2197,Fc,Donnée calculée
